step,track_id,confirmed,x,y,vx,vy,misses,hits,maha2
69,5,0,-92.839953573473821,85.015248750174166,0,0,3,1,0
70,1,1,-87.820412407507334,92.227707934896387,-12.471812294503408,6.8116700291455237,0,64,0.10194525202074455
70,2,1,74.666736809716994,87.93352955205566,-5.3949183254579234,-1.2560488977426463,0,64,0.32428803323027222
70,3,1,5.1511546784806947,4.7938525706539465,18.002073511910147,-5.2231907566893252,1,50,0
70,4,1,-1.2064364077307224,4.8583619174211323,16.383038328376173,-2.075220585990174,0,13,2.1994441610174289
70,5,0,-92.839953573473821,85.015248750174166,0,0,4,1,0
71,1,1,-88.444003022232508,92.568291436353661,-12.471812294503408,6.8116700291455237,1,64,0
71,2,1,74.201214611255907,88.025371299255582,-5.495240476956627,-1.1768041705798395,0,65,1.7154511646588504
71,3,1,5.722642242918937,4.461162174838023,17.852292332100646,-5.2557940769085247,0,51,0.92915101172414583
71,4,1,-0.38728449131191367,4.7546008881216233,16.383038328376173,-2.075220585990174,1,13,0
71,5,0,-93.62040601524032,90.41709284496703,-2.6912334413782428,18.627174053185335,0,2,0.51950220507938594
72,1,1,-89.067593636957682,92.908874937810936,-12.471812294503408,6.8116700291455237,2,64,0
72,2,1,73.831196798736642,87.940423531155119,-5.5438233074166208,-1.1901196777849683,0,66,0.27538008303094758
72,3,1,6.3485351214484069,4.4836783145322219,17.731790280878492,-5.1268959240236187,0,52,1.4330416241105182
72,4,1,0.43186742510689502,4.6508398588221143,16.383038328376173,-2.075220585990174,2,13,0
72,5,1,-91.881531886577818,90.412748948312156,3.7059889651427378,15.43202979906393,0,3,0.70783375986878494
73,1,1,-89.691184251682856,93.24945843926821,-12.471812294503408,6.8116700291455237,3,64,0
73,2,1,73.806427183678622,88.120212974270359,-5.4156403925065426,-1.0686023773798536,0,67,3.4943889786181943
73,3,1,7.2654047407533993,4.1257444561963688,17.745366646706223,-5.172444321552141,0,53,0.11914816959914437
73,4,1,1.2510193415257036,4.5470788295226052,16.383038328376173,-2.075220585990174,3,13,0
73,5,1,-91.792466252628913,90.809288269927777,3.3741356120343347,14.138662814894769,0,4,0.048372056859866522
74,1,1,-90.31477486640803,93.590041940725484,-12.471812294503408,6.8116700291455237,4,64,0
74,2,1,73.32419446978227,88.258322549607001,-5.522589179567559,-0.97172429409924976,0,68,2.4034050928475681
74,3,1,8.329414232682689,3.6815626799387129,17.824098349193083,-5.2551042979789662,0,54,0.77710643421058911
